case_id,title,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity
CASE-001,VLAN Connectivity Issue - Server Unreachable,PC gets an IP address but cannot reach the server in VLAN 30. The PC can ping its default gateway.,PC connected to Switch1 Fa0/2 (VLAN 10). Switch1 trunk to Router1 Fa0/0. Server in VLAN 30 on Switch1 Fa0/5.,"show vlan brief
VLAN Name Status Ports
10 Data active Fa0/2
30 Servers active Fa0/5

switchport access vlan 30 command missing on Fa0/5 - port shows VLAN 1
show interfaces trunk
Port Mode Encapsulation Status Native vlan
Fa0/1 on 802.1q trunking 1",Server port not assigned to correct VLAN (still in default VLAN 1),Layer 2,VLAN,High
CASE-002,Default Gateway Misconfiguration,PC can ping other devices on the same subnet but cannot reach any remote network.,"PC connected to Switch1, Switch1 uplinks to Router1 which routes between VLAN 10 and VLAN 20.","show ip interface brief
FastEthernet0/0 192.168.10.1 YES manual up up
PC ipconfig: IP 192.168.10.50 Gateway 192.168.20.1",PC configured with wrong default gateway (points to a different subnet),Layer 3,Gateway,High
CASE-003,DHCP Pool Exhaustion,New PCs on VLAN 20 fail to obtain an IP address; existing PCs work fine.,Router1 configured as DHCP server for VLAN 20 (192.168.20.0/27).,"show ip dhcp pool VLAN20
Pool VLAN20 :
 Utilization mark high = 100 %
 Total addresses = 30
 Leased addresses = 30
 Pending event = none",DHCP pool exhausted - no free addresses left in the scope,Layer 3 / Application,DHCP,Medium
CASE-004,DNS Resolution Failure,Users can ping the web server by IP address but cannot browse to it using its hostname.,"PC on VLAN 10, DNS server configured as 8.8.8.8 in the DHCP scope but internal DNS is 192.168.10.5.","ipconfig /all
DNS Servers: 8.8.8.8
nslookup intranet.local
*** 8.8.8.8 can't find intranet.local: Non-existent domain",PC is using an external DNS server that has no record for the internal hostname,Layer 7,DNS,Medium
CASE-005,Missing Static Route Between Sites,"HQ site cannot reach Branch site subnet 172.16.20.0/24, but the WAN link is up.",R1 (HQ) <-> Serial link <-> R2 (Branch). R2 LAN = 172.16.20.0/24.,"show ip route
Gateway of last resort is not set
C 172.16.10.0/24 is directly connected, GigabitEthernet0/0
C 10.0.0.0/30 is directly connected, Serial0/0/0
(No route to 172.16.20.0/24)",Missing static/dynamic route for the branch LAN subnet on HQ router,Layer 3,Routing,Critical
CASE-006,ACL Blocking Legitimate Traffic,Users in VLAN 10 cannot access the file server in VLAN 30 even though routing is correctly configured.,Router1 has an inbound ACL on the VLAN 30 SVI.,"show access-lists
Extended IP access list BLOCK_VLAN10
 10 deny ip 192.168.10.0 0.0.0.255 any
 20 permit ip any any (0 matches)",Overly broad deny statement in ACL blocks all VLAN 10 traffic to VLAN 30,Layer 3 / Layer 4,ACL,High
CASE-007,NAT Overload Not Translating Outbound Traffic,Internal hosts cannot reach the internet; internal-to-internal traffic works fine.,Router1 connects internal LAN (192.168.1.0/24) to ISP via Serial0/1/0.,"show ip nat translations
(empty)
show run | include nat
ip nat inside source list 1 interface Serial0/1/0 overload
(interface GigabitEthernet0/0 missing 'ip nat inside')","Inside interface not marked with 'ip nat inside', so NAT overload never triggers",Layer 3,NAT,High
CASE-008,Wireless Client Cannot Associate with AP,"Laptop detects the SSID 'CorpWiFi' but fails to connect, showing 'incorrect password' repeatedly even with the correct passphrase.","AP1 broadcasts SSID CorpWiFi using WPA2-PSK, connected to Switch1 access port.","AP1 config: authentication WPA2 PSK ascii CorpPass123
Client security profile: WPA2-Enterprise selected on laptop instead of WPA2-Personal",Client wireless profile mismatched security type (Enterprise vs Personal/PSK),Layer 2,Wireless,Medium
CASE-009,Duplicate IP Address Conflict,Two PCs on VLAN 10 intermittently lose connectivity; Windows shows 'IP address conflict' popup on one machine.,"Static IP assigned on PC-A (192.168.10.20), DHCP scope on same subnet also includes .20 in its range.","show ip dhcp conflict
IP address Detection method Detection time
192.168.10.20 Ping Mon Mar 10 09:15:20","Statically assigned address overlaps with DHCP scope range, causing duplicate IP conflict",Layer 3,DHCP,Medium
CASE-010,Incorrect Subnet Mask Causing Isolated Host,"One PC on VLAN 10 cannot communicate with any other device, even those on the same VLAN.",VLAN 10 subnet is 192.168.10.0/24. PC statically configured.,"ipconfig
IPv4 Address: 192.168.10.55
Subnet Mask: 255.255.255.192
Default Gateway: 192.168.10.1",Subnet mask misconfigured (/26 instead of /24) places host and gateway on different logical subnets,Layer 3,Gateway,High
