case_id,ai_result,human_decision,corrected_diagnosis,reviewer_comment,timestamp
DEMO-001,Root cause: Missing route to branch subnet 172.16.20.0/24 (Routing / Layer 3),Rejected,ACL on Serial0/1/0 is blocking return traffic; the route already exists.,AI ignored the ACL evidence and jumped to a routing conclusion.,2026-07-01 09:12:00
DEMO-002,Root cause: DHCP scope exhausted on VLAN 20 (DHCP / Layer 3),Edited,Correct VLAN was never assigned on the switch port (port still in VLAN 1).,AI misread the show vlan brief output.,2026-07-01 10:03:00
DEMO-003,Root cause: DNS server misconfigured with wrong forwarder (DNS / Layer 7),Rejected,Default gateway on the PC is wrong; the PC cannot reach the DNS subnet at all.,AI diagnosed a higher layer without confirming Layer 3 reachability.,2026-07-01 11:47:00
DEMO-004,Root cause: Routing issue between VLANs (Routing / Layer 3),Edited,Interface Gi0/1 is administratively down - the actual root cause.,AI missed the administratively down line in show ip interface brief.,2026-07-02 09:20:00
DEMO-005,Recommendation: Add a static route for 172.16.20.0/24 via Serial0/0/0 (Routing / Layer 3),Rejected,No change needed - the route already exists in the routing table.,AI recommended a redundant change; reviewer rejected to avoid unnecessary changes.,2026-07-02 14:35:00
CASE-001,Root cause: Server switch port not assigned to VLAN 30 (VLAN / Layer 2),Accepted,,AI correctly identified the VLAN assignment issue from show vlan brief.,2026-07-03 08:15:00
CASE-005,Root cause: Missing static route to branch LAN 172.16.20.0/24 (Routing / Layer 3),Accepted,,Confirmed via show ip route - no matching route existed.,2026-07-03 08:40:00
CASE-006,Root cause: Overly broad ACL deny blocks VLAN 10 to VLAN 30 (ACL),Accepted,,The deny statement matches the symptom exactly.,2026-07-03 09:05:00
CASE-007,Root cause: Inside interface missing ip nat inside (NAT / Layer 3),Accepted,,"Verified in the running-config, matches evidence.",2026-07-03 09:30:00
CASE-010,Root cause: Incorrect subnet mask (/26 instead of /24) (Gateway / Layer 3),Accepted,,"Host and gateway on different logical subnets, matches evidence.",2026-07-03 10:00:00
CASE-012,Root cause: WAN interface administratively down (Routing),Accepted,,show ip interface brief clearly shows administratively down.,2026-07-03 10:30:00
CASE-018,Root cause: Asymmetric routing on the return path (Routing / Layer 3),Edited,ACL on the return link drops established TCP; the route change is not needed.,AI suggested a routing fix but the ACL evidence is the real cause.,2026-07-04 09:10:00
CASE-022,Root cause: No default route (0.0.0.0/0) on edge router (Routing / Layer 3),Accepted,,Gateway of last resort is not set; matches evidence.,2026-07-04 09:40:00
CASE-024,Root cause: ACL wildcard mask permits too much (ACL / Layer 3),Edited,Wildcard mask 0.0.15.255 should be 0.0.0.255 for the /24 network.,AI gave a generic ACL answer; the wildcard mask detail is the exact cause.,2026-07-04 10:00:00
CASE-025,Root cause: DNS server switch port is down (DNS / Layer 1),Accepted,,The DNS port shows down/down; matches evidence.,2026-07-04 10:30:00
CASE-019,"{""confidence"": ""High"", ""evidence"": [""The ACL is applied inbound on the interface it filters."", ""Rule checker flagged: ACL Applied in Wrong Direction (High).""], ""fix_steps"": [""Review the ACL for overly broad deny statements."", ""Confirm the ACL is on the correct interface and direction."", ""Correct the wildcard mask if needed.""], ""mode"": ""demo"", ""next_command"": ""show access-lists"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Access control list (ACL) problem - the ACL is blocking the wrong traffic or filtering the wrong range."", ""severity"": ""High"", ""verification_steps"": [""show access-lists"", ""ping/traceroute the affected path""]}",Accepted,,,2026-08-12 09:07:27
CASE-014,"{""confidence"": ""High"", ""evidence"": [""Subinterface 30 is tagging frames with dot1Q 3 instead of dot1Q 30."", ""Rule checker flagged: Incorrect dot1Q Tag (High).""], ""fix_steps"": [""Check whether the destination subnet appears in 'show ip route'."", ""Add the missing route or fix the routing protocol / interface."", ""Confirm the affected interface is up.""], ""mode"": ""demo"", ""next_command"": ""show ip route"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Routing problem - a route or a routing-related interface is missing or misconfigured."", ""severity"": ""High"", ""verification_steps"": [""show ip route"", ""ping <destination-ip>""]}",Accepted,,,2026-08-13 06:16:34
CASE-005,"{""confidence"": ""High"", ""evidence"": [""The routing table has no entry for the destination subnet."", ""The routing table has no default route (gateway of last resort)."", ""Rule checker flagged: Missing Route (Critical).""], ""fix_steps"": [""Check whether the destination subnet appears in 'show ip route'."", ""Add the missing route or fix the routing protocol / interface."", ""Confirm the affected interface is up.""], ""mode"": ""demo"", ""next_command"": ""show ip route"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Routing problem - a route or a routing-related interface is missing or misconfigured."", ""severity"": ""High"", ""verification_steps"": [""show ip route"", ""ping <destination-ip>""]}",Accepted,,,2026-08-26 14:40:25,,,,
